CountyFIPS,Spatial_Proximity ,Dissimilarity,Isolation ,Delta,Absolute_Centralization,Relative_Centralization,State_Name,State_Abbreviation,State_FIPS
56001,0.9048628921968521,0.546446353953763,0.8585243050057415,0.9800821130338133,0.0,0.11731905672321385,Wyoming,WY,56
56003,0.9489003274323956,0.18505343042883846,0.926328658758987,0.29000828596020545,-0.05769230769230771,0.19512395022460316,Wyoming,WY,56
56005,0.914912133044725,0.41943447037701975,0.9040893164586847,0.8219752614002142,0.0,-0.009806077727320783,Wyoming,WY,56
56007,0.8907721566671248,0.28213277785540086,0.9101338849814944,0.599311629990272,0.0,0.23186825440971592,Wyoming,WY,56
56009,,0.0,0.0,0.0,,,Wyoming,WY,56
56011,0.9565641263306671,0.40030803696443573,0.9620395327942498,0.4968255949077717,0.0,0.40030803696443573,Wyoming,WY,56
56013,0.8090796247871817,0.40337519905057356,0.7430138938026605,0.6229686945008684,-0.13084112149532712,0.16543298169753617,Wyoming,WY,56
56015,0.9002050159458107,0.4623764711724686,0.9003981198592605,0.7399362421491558,0.0,-0.103745592690073,Wyoming,WY,56
56017,,0.0,0.0,0.0,,,Wyoming,WY,56
56019,0.9356060606683922,0.3010833963214915,0.9278569580775774,0.9505366240116805,-0.020408163265306145,0.3010833963214915,Wyoming,WY,56
56021,0.9104079357396412,0.3351880473066473,0.866526192066369,0.7885246315442196,0.0,-0.056741317930245394,Wyoming,WY,56
56023,0.9505481647096482,0.48337665150530645,0.9597193273777349,0.6412034132332542,-0.6666666666666667,-0.5693271243953506,Wyoming,WY,56
56025,0.963133314638055,0.4322400483726381,0.9302500569684065,0.9643769943066938,-0.014893617021276562,-0.006136800563784739,Wyoming,WY,56
56027,0.9459124690338562,0.0,0.9401321222130471,0.0,0.0,0.0,Wyoming,WY,56
56029,0.9413690326218123,0.3660886510115274,0.9519170806136438,0.4346299336884393,-0.08080808080808077,0.44617622382123745,Wyoming,WY,56
56031,0.9618538349939955,0.8037054976992007,0.9718225419664268,0.49366891948982566,-1.0,-0.8037054976992007,Wyoming,WY,56
56033,0.9635099411809661,0.42022600527618187,0.9449511951998555,0.7359251454639378,-0.06896551724137934,0.24461199381479481,Wyoming,WY,56
56035,,0.0,0.0,0.0,,,Wyoming,WY,56
56037,0.8954221084852387,0.5517472455534881,0.9131683129681751,0.9361185630246799,0.0,0.3301852380841286,Wyoming,WY,56
56039,0.8842753064485083,0.25834778064419794,0.88787710476003,0.8199291532042079,-0.06206896551724139,0.18607550206133383,Wyoming,WY,56
56041,0.9274167490899674,0.31153132925487914,0.9334776738411836,0.21180455169709453,-0.30434782608695654,0.22026834168113507,Wyoming,WY,56
56043,0.8836870017369992,0.6181288173237091,0.9016715830875123,0.008324884081535776,0.0,0.618128817323709,Wyoming,WY,56
56045,0.9901464705509616,0.5414300276685597,0.9559805707346691,0.04902923470520089,-1.0,-0.5414300276685597,Wyoming,WY,56
